acn,reporter_function,reporter_ATC,reporter_GROUND,reporter_INSTRUCTION_EXAM,reporter_MAINT_SAFETY,reporter_OTH_CREW,reporter_OTH_UNKN,reporter_PILOT
1518022,FLIGHT ATTENDANT (ON DUTY),0,0,0,0,1,0,0
1517573,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1517400,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1517294,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1517223,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1517160,FLIGHT ATTENDANT IN CHARGE,0,0,0,0,1,0,0
1517142,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1517130,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1517127,SINGLE PILOT; PILOT FLYING,0,0,0,0,0,0,1
1516979,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1516913,SINGLE PILOT,0,0,0,0,0,0,1
1516910,SINGLE PILOT,0,0,0,0,0,0,1
1516870,TECHNICIAN,0,0,0,1,0,0,0
1516263,INSTRUCTOR,0,0,0,0,0,0,1
1516248,SINGLE PILOT,0,0,0,0,0,0,1
1516222,INSPECTOR; TECHNICIAN,0,0,0,1,0,0,0
1515905,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1515327,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1512466,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515325,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1515251,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514760,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1514750,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1514691,LOCAL,0,0,0,0,0,1,0
1514683,APPROACH; INSTRUCTOR,1,0,0,0,0,0,1
1514674,APPROACH,1,0,0,0,0,0,0
1514668,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1514621,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514618,INSTRUCTOR; PILOT NOT FLYING,0,0,0,0,0,0,1
1514593,PILOT NOT FLYING; INSTRUCTOR,0,0,0,0,0,0,1
1514576,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514775,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1514515,FLIGHT ATTENDANT (ON DUTY),0,0,0,0,1,0,0
1514398,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1514392,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514378,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1514340,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1514337,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1514312,GATE AGENT / CSR,0,1,0,0,0,0,0
1514293,DISPATCHER,1,0,0,0,0,0,0
1514283,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514279,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514276,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1514448,FIRST OFFICER,0,0,0,0,0,0,1
1514784,CAPTAIN,0,0,0,0,0,0,1
1514808,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1514866,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1515241,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1515228,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1515208,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515187,GROUND,0,1,0,0,0,0,0
1515186,APPROACH,1,0,0,0,0,0,0
1515183,APPROACH,1,0,0,0,0,0,0
1515168,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1515157,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1515155,INSTRUCTOR; PILOT NOT FLYING,0,0,0,0,0,0,1
1515147,INSTRUCTOR; PILOT NOT FLYING,0,0,0,0,0,0,1
1515139,SINGLE PILOT,0,0,0,0,0,0,1
1515127,TECHNICIAN,0,0,0,1,0,0,0
1515069,CAPTAIN,0,0,0,0,0,0,1
1515057,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515050,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515017,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514990,LOCAL,0,0,0,0,0,1,0
1514984,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1514952,SINGLE PILOT; PILOT FLYING,0,0,0,0,0,0,1
1514886,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1514885,PILOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1514884,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514883,CHECK PILOT; PILOT NOT FLYING,0,0,0,0,0,0,1
1515299,DISPATCHER,1,0,0,0,0,0,0
1512463,PILOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1514359,CAPTAIN,0,0,0,0,0,0,1
1512448,OTHER / UNKNOWN,0,0,0,0,0,1,0
1510098,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1510060,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1510055,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1510048,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1510031,APPROACH,1,0,0,0,0,0,0
1510024,APPROACH,1,0,0,0,0,0,0
1510022,ENROUTE,1,0,0,0,0,0,0
1509991,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1509931,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509930,PILOT NOT FLYING,0,0,0,0,0,0,1
1510105,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509904,OTHER / UNKNOWN,0,0,0,0,0,1,0
1509890,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509879,FIRST OFFICER,0,0,0,0,0,0,1
1509878,CAPTAIN,0,0,0,0,0,0,1
1509851,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509844,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509813,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1509800,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1509716,DEPARTURE,1,0,0,0,0,0,0
1509679,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1509624,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509900,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1510119,RAMP,0,1,0,0,0,0,0
1510138,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1510169,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1510773,SINGLE PILOT; PILOT FLYING,0,0,0,0,0,0,1
1510771,SINGLE PILOT,0,0,0,0,0,0,1
1510764,SINGLE PILOT,0,0,0,0,0,0,1
1510763,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1510762,SINGLE PILOT; PILOT FLYING,0,0,0,0,0,0,1
1510709,RELIEF PILOT; PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1510704,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1510703,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1510676,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1510655,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1510607,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1510576,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1510565,APPROACH,1,0,0,0,0,0,0
